FIPS,County,State,Condition,Urban/Rural,Total,Total No. of Beneficiaries,White,No. of Beneficiaries Who are White,Black,No. of Beneficiaries Who are Black,Asian/Pacific Islander,No. of Beneficiaries Who are Asian/Pacific Islander,Hispanic,No. of Beneficiaries Who are Hispanic,American Indian/Alaska Native,No. of Beneficiaries Who are American Indian/Alaska Native,Other,No. of Beneficiaries Who are in Other Ethic Groups
01041,CRENSHAW,AL,Chronic Kidney Disease,Rural,34,"[1,000-4,999]",33,"[1,000-4,999]",40,[11-499],*,*,*,*,*,*,*,*
01043,CULLMAN,AL,Chronic Kidney Disease,Rural,24,"[10,000+]",24,"[10,000+]",20,[11-499],26,[11-499],27,[11-499],*,*,26,[11-499]
01045,DALE,AL,Chronic Kidney Disease,Rural,28,"[5,000-9,999]",27,"[5,000-9,999]",36,"[1,000-4,999]",20,[11-499],28,[11-499],*,*,20,[11-499]
01047,DALLAS,AL,Chronic Kidney Disease,Rural,28,"[5,000-9,999]",23,"[1,000-4,999]",31,"[1,000-4,999]",28,[11-499],0,[11-499],*,*,*,*
01049,DE KALB,AL,Chronic Kidney Disease,Rural,27,"[5,000-9,999]",27,"[5,000-9,999]",28,[11-499],*,*,29,[11-499],*,*,41,[11-499]
01051,ELMORE,AL,Chronic Kidney Disease,Urban,25,"[5,000-9,999]",24,"[5,000-9,999]",28,[500-999],26,[11-499],23,[11-499],*,*,25,[11-499]
01053,ESCAMBIA,AL,Chronic Kidney Disease,Rural,28,"[1,000-4,999]",26,"[1,000-4,999]",31,"[1,000-4,999]",*,*,0,[11-499],48,[11-499],*,*
01055,ETOWAH,AL,Chronic Kidney Disease,Urban,33,"[10,000+]",33,"[10,000+]",36,"[1,000-4,999]",25,[11-499],26,[11-499],*,*,29,[11-499]
01057,FAYETTE,AL,Chronic Kidney Disease,Rural,33,"[1,000-4,999]",33,"[1,000-4,999]",34,[11-499],*,*,29,[11-499],*,*,*,*
01059,FRANKLIN,AL,Chronic Kidney Disease,Rural,25,"[5,000-9,999]",25,"[1,000-4,999]",37,[11-499],*,*,22,[11-499],*,*,19,[11-499]
01061,GENEVA,AL,Chronic Kidney Disease,Urban,28,"[1,000-4,999]",28,"[1,000-4,999]",30,[11-499],*,*,21,[11-499],*,*,0,[11-499]
01063,GREENE,AL,Chronic Kidney Disease,Urban,28,"[1,000-4,999]",26,[11-499],28,"[1,000-4,999]",*,*,*,*,*,*,*,*
01065,HALE,AL,Chronic Kidney Disease,Urban,30,"[1,000-4,999]",29,"[1,000-4,999]",30,"[1,000-4,999]",*,*,*,*,*,*,*,*
01067,HENRY,AL,Chronic Kidney Disease,Urban,28,"[1,000-4,999]",27,"[1,000-4,999]",30,[500-999],*,*,*,*,*,*,*,*
01069,HOUSTON,AL,Chronic Kidney Disease,Urban,26,"[10,000+]",25,"[10,000+]",31,"[1,000-4,999]",24,[11-499],29,[11-499],23,[11-499],27,[11-499]
01071,JACKSON,AL,Chronic Kidney Disease,Rural,32,"[5,000-9,999]",31,"[5,000-9,999]",43,[11-499],33,[11-499],24,[11-499],*,*,39,[11-499]
01073,JEFFERSON,AL,Chronic Kidney Disease,Urban,26,"[10,000+]",25,"[10,000+]",30,"[10,000+]",18,[11-499],27,[11-499],31,[11-499],24,[11-499]
01075,LAMAR,AL,Chronic Kidney Disease,Rural,28,"[1,000-4,999]",28,"[1,000-4,999]",26,[11-499],*,*,*,*,*,*,*,*
01077,LAUDERDALE,AL,Chronic Kidney Disease,Urban,23,"[10,000+]",23,"[10,000+]",31,"[1,000-4,999]",21,[11-499],14,[11-499],*,*,0,[11-499]
01079,LAWRENCE,AL,Chronic Kidney Disease,Urban,30,"[1,000-4,999]",28,"[1,000-4,999]",38,[500-999],*,*,*,*,*,*,*,*
01081,LEE,AL,Chronic Kidney Disease,Urban,24,"[10,000+]",22,"[5,000-9,999]",28,"[1,000-4,999]",14,[11-499],18,[11-499],*,*,11,[11-499]
01083,LIMESTONE,AL,Chronic Kidney Disease,Urban,28,"[5,000-9,999]",27,"[5,000-9,999]",34,[500-999],26,[11-499],31,[11-499],*,*,*,*
01085,LOWNDES,AL,Chronic Kidney Disease,Urban,26,[500-999],24,[11-499],28,[500-999],*,*,*,*,*,*,*,*
01087,MACON,AL,Chronic Kidney Disease,Rural,28,"[1,000-4,999]",22,[500-999],31,"[1,000-4,999]",*,*,*,*,*,*,*,*
01089,MADISON,AL,Chronic Kidney Disease,Urban,31,"[10,000+]",30,"[10,000+]",36,"[5,000-9,999]",22,[500-999],24,[500-999],29,[11-499],27,[11-499]
01091,MARENGO,AL,Chronic Kidney Disease,Rural,29,"[1,000-4,999]",25,"[1,000-4,999]",32,"[1,000-4,999]",*,*,*,*,*,*,*,*
01093,MARION,AL,Chronic Kidney Disease,Rural,28,"[5,000-9,999]",27,"[1,000-4,999]",41,[11-499],*,*,0,[11-499],*,*,*,*
01095,MARSHALL,AL,Chronic Kidney Disease,Rural,26,"[10,000+]",27,"[10,000+]",25,[11-499],18,[11-499],19,[11-499],*,*,23,[11-499]
01097,MOBILE,AL,Chronic Kidney Disease,Urban,27,"[10,000+]",25,"[10,000+]",33,"[5,000-9,999]",16,[11-499],25,[11-499],32,[11-499],25,[11-499]
01099,MONROE,AL,Chronic Kidney Disease,Rural,23,"[1,000-4,999]",20,"[1,000-4,999]",28,"[1,000-4,999]",*,*,*,*,31,[11-499],*,*
01101,MONTGOMERY,AL,Chronic Kidney Disease,Urban,26,"[10,000+]",23,"[10,000+]",29,"[5,000-9,999]",18,[11-499],24,[11-499],*,*,27,[11-499]
01103,MORGAN,AL,Chronic Kidney Disease,Urban,28,"[10,000+]",27,"[10,000+]",32,"[1,000-4,999]",23,[11-499],24,[11-499],*,*,25,[11-499]
01105,PERRY,AL,Chronic Kidney Disease,Rural,30,"[1,000-4,999]",30,[500-999],31,"[1,000-4,999]",*,*,*,*,*,*,*,*
01107,PICKENS,AL,Chronic Kidney Disease,Rural,30,"[1,000-4,999]",28,"[1,000-4,999]",33,"[1,000-4,999]",*,*,*,*,*,*,*,*
01109,PIKE,AL,Chronic Kidney Disease,Rural,32,"[1,000-4,999]",31,"[1,000-4,999]",33,"[1,000-4,999]",*,*,25,[11-499],*,*,*,*
01111,RANDOLPH,AL,Chronic Kidney Disease,Rural,28,"[1,000-4,999]",27,"[1,000-4,999]",36,[500-999],*,*,28,[11-499],*,*,*,*
01113,RUSSELL,AL,Chronic Kidney Disease,Urban,30,"[5,000-9,999]",28,"[5,000-9,999]",35,"[1,000-4,999]",16,[11-499],20,[11-499],*,*,29,[11-499]
01115,ST. CLAIR,AL,Chronic Kidney Disease,Urban,28,"[5,000-9,999]",28,"[5,000-9,999]",34,[11-499],15,[11-499],40,[11-499],*,*,33,[11-499]
01117,SHELBY,AL,Chronic Kidney Disease,Urban,27,"[5,000-9,999]",27,"[5,000-9,999]",32,[500-999],29,[11-499],22,[11-499],*,*,39,[11-499]
01119,SUMTER,AL,Chronic Kidney Disease,Rural,27,"[1,000-4,999]",21,[500-999],29,"[1,000-4,999]",*,*,*,*,*,*,*,*
01121,TALLADEGA,AL,Chronic Kidney Disease,Rural,28,"[5,000-9,999]",27,"[5,000-9,999]",32,"[1,000-4,999]",20,[11-499],36,[11-499],*,*,20,[11-499]
01123,TALLAPOOSA,AL,Chronic Kidney Disease,Rural,29,"[5,000-9,999]",28,"[1,000-4,999]",35,"[1,000-4,999]",0,[11-499],18,[11-499],*,*,21,[11-499]
01125,TUSCALOOSA,AL,Chronic Kidney Disease,Urban,30,"[10,000+]",28,"[10,000+]",35,"[5,000-9,999]",31,[11-499],29,[11-499],45,[11-499],19,[11-499]
01127,WALKER,AL,Chronic Kidney Disease,Urban,36,"[5,000-9,999]",36,"[5,000-9,999]",40,[11-499],36,[11-499],33,[11-499],*,*,23,[11-499]
01129,WASHINGTON,AL,Chronic Kidney Disease,Rural,22,"[1,000-4,999]",20,"[1,000-4,999]",28,[500-999],*,*,*,*,0,[11-499],*,*
01131,WILCOX,AL,Chronic Kidney Disease,Rural,27,"[1,000-4,999]",22,[500-999],30,"[1,000-4,999]",*,*,*,*,*,*,*,*
01133,WINSTON,AL,Chronic Kidney Disease,Rural,25,"[1,000-4,999]",25,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,*,*
02020,ANCHORAGE,AK,Chronic Kidney Disease,Urban,19,"[10,000+]",18,"[10,000+]",27,"[1,000-4,999]",28,"[1,000-4,999]",20,"[1,000-4,999]",20,"[1,000-4,999]",22,[500-999]
02050,BETHEL,AK,Chronic Kidney Disease,Rural,12,[500-999],17,[11-499],*,*,*,*,*,*,12,[500-999],0,[11-499]
02060,BRISTOL BAY BOROUGH,AK,Chronic Kidney Disease,Rural,16,[500-999],16,[500-999],*,*,*,*,*,*,14,[11-499],*,*
02070,DILLINGHAM,AK,Chronic Kidney Disease,Rural,15,[11-499],10,[11-499],*,*,*,*,*,*,17,[11-499],*,*
02090,FAIRBANKS NORTH STAR,AK,Chronic Kidney Disease,Urban,15,"[5,000-9,999]",14,"[5,000-9,999]",25,[11-499],13,[11-499],27,[11-499],20,[500-999],13,[11-499]
02100,HAINES,AK,Chronic Kidney Disease,Rural,16,[500-999],14,[11-499],*,*,*,*,*,*,27,[11-499],*,*
02110,JUNEAU,AK,Chronic Kidney Disease,Rural,16,"[1,000-4,999]",15,"[1,000-4,999]",31,[11-499],20,[11-499],19,[11-499],22,[500-999],24,[11-499]
02122,KENAI PENINSULA,AK,Chronic Kidney Disease,Rural,11,[11-499],12,[11-499],*,*,*,*,*,*,*,*,*,*
02130,KETCHIKAN GATEWAY,AK,Chronic Kidney Disease,Rural,20,"[1,000-4,999]",19,"[1,000-4,999]",23,[11-499],29,[11-499],25,[11-499],25,[11-499],28,[11-499]
02150,KODIAK ISLAND BOROUGH,AK,Chronic Kidney Disease,Rural,16,[500-999],13,[500-999],*,*,25,[11-499],19,[11-499],17,[11-499],14,[11-499]
02170,MATANUSKA-SUSITNA,AK,Chronic Kidney Disease,Urban,20,"[10,000+]",20,"[5,000-9,999]",23,[11-499],24,[11-499],25,[11-499],23,[500-999],6,[11-499]
02180,NOME,AK,Chronic Kidney Disease,Rural,19,[500-999],21,[11-499],*,*,*,*,*,*,19,[500-999],0,[11-499]
02220,SITKA BOROUGH,AK,Chronic Kidney Disease,Rural,18,"[1,000-4,999]",15,[500-999],*,*,13,[11-499],13,[11-499],29,[11-499],0,[11-499]
02230,SKAGWAY-YAKUTAT,AK,Chronic Kidney Disease,Rural,15,[500-999],13,[11-499],*,*,*,*,*,*,23,[11-499],*,*
02240,SOUTHEAST FAIRBANKS,AK,Chronic Kidney Disease,Rural,12,[500-999],13,[500-999],*,*,*,*,*,*,12,[11-499],*,*
02270,WADE HAMPTON,AK,Chronic Kidney Disease,Rural,13,[11-499],0,[11-499],*,*,*,*,*,*,13,[11-499],0,[11-499]
02290,YUKON-KOYUKUK,AK,Chronic Kidney Disease,Rural,15,[500-999],12,[11-499],*,*,*,*,*,*,19,[11-499],*,*
04001,APACHE,AZ,Chronic Kidney Disease,Rural,23,"[5,000-9,999]",15,"[1,000-4,999]",13,[11-499],0,[11-499],18,[11-499],28,"[5,000-9,999]",8,[11-499]
04003,COCHISE,AZ,Chronic Kidney Disease,Rural,21,"[10,000+]",20,"[10,000+]",27,[500-999],17,[11-499],21,"[1,000-4,999]",38,[11-499],17,[11-499]
04005,COCONINO,AZ,Chronic Kidney Disease,Urban,21,"[10,000+]",18,"[10,000+]",21,[11-499],12,[11-499],26,"[1,000-4,999]",34,"[1,000-4,999]",22,[11-499]
04007,GILA,AZ,Chronic Kidney Disease,Rural,22,"[10,000+]",20,"[10,000+]",26,[11-499],14,[11-499],27,"[1,000-4,999]",38,[500-999],27,[11-499]
04009,GRAHAM,AZ,Chronic Kidney Disease,Rural,21,"[1,000-4,999]",19,"[1,000-4,999]",58,[11-499],0,[11-499],24,[500-999],37,[11-499],0,[11-499]
04011,GREENLEE,AZ,Chronic Kidney Disease,Rural,21,[500-999],19,[500-999],*,*,*,*,24,[11-499],36,[11-499],*,*
04012,LAPAZ,AZ,Chronic Kidney Disease,Rural,25,"[1,000-4,999]",24,"[1,000-4,999]",21,[11-499],29,[11-499],26,[11-499],42,[11-499],0,[11-499]
04013,MARICOPA,AZ,Chronic Kidney Disease,Urban,26,"[10,000+]",25,"[10,000+]",35,"[10,000+]",24,"[5,000-9,999]",28,"[10,000+]",40,"[1,000-4,999]",26,"[1,000-4,999]"
04015,MOHAVE,AZ,Chronic Kidney Disease,Urban,25,"[10,000+]",25,"[10,000+]",31,[11-499],21,[11-499],25,"[1,000-4,999]",33,[11-499],26,[11-499]
04017,NAVAJO,AZ,Chronic Kidney Disease,Rural,22,"[10,000+]",16,"[10,000+]",26,[11-499],15,[11-499],23,[500-999],31,"[5,000-9,999]",13,[11-499]
04019,PIMA,AZ,Chronic Kidney Disease,Urban,22,"[10,000+]",21,"[10,000+]",31,"[1,000-4,999]",22,"[1,000-4,999]",24,"[5,000-9,999]",45,"[1,000-4,999]",19,[500-999]
04021,PINAL,AZ,Chronic Kidney Disease,Urban,26,"[10,000+]",24,"[10,000+]",33,[500-999],27,[11-499],29,"[1,000-4,999]",52,"[1,000-4,999]",29,[11-499]
04023,SANTA CRUZ,AZ,Chronic Kidney Disease,Rural,17,"[1,000-4,999]",16,"[1,000-4,999]",27,[11-499],21,[11-499],18,"[1,000-4,999]",31,[11-499],0,[11-499]
04025,YAVAPAI,AZ,Chronic Kidney Disease,Urban,19,"[10,000+]",19,"[10,000+]",22,[11-499],16,[11-499],21,"[1,000-4,999]",30,[11-499],19,[11-499]
04027,YUMA,AZ,Chronic Kidney Disease,Urban,29,"[10,000+]",28,"[10,000+]",40,[11-499],21,[11-499],30,"[5,000-9,999]",38,[11-499],28,[11-499]
04990,STATEWIDE,AZ,Chronic Kidney Disease,Rural,22,[11-499],0,[11-499],*,*,*,*,*,*,*,*,*,*
05001,ARKANSAS,AR,Chronic Kidney Disease,Rural,19,"[1,000-4,999]",18,"[1,000-4,999]",23,[500-999],29,[11-499],*,*,*,*,*,*
05003,ASHLEY,AR,Chronic Kidney Disease,Rural,22,"[1,000-4,999]",21,"[1,000-4,999]",27,[500-999],*,*,25,[11-499],*,*,*,*
05005,BAXTER,AR,Chronic Kidney Disease,Rural,23,"[10,000+]",23,"[5,000-9,999]",*,*,21,[11-499],19,[11-499],24,[11-499],0,[11-499]
05007,BENTON,AR,Chronic Kidney Disease,Urban,23,"[10,000+]",23,"[10,000+]",30,[11-499],19,[11-499],25,[500-999],25,[11-499],18,[11-499]
05009,BOONE,AR,Chronic Kidney Disease,Rural,21,"[5,000-9,999]",21,"[5,000-9,999]",*,*,14,[11-499],18,[11-499],25,[11-499],27,[11-499]
05011,BRADLEY,AR,Chronic Kidney Disease,Rural,20,"[1,000-4,999]",16,"[1,000-4,999]",30,[500-999],*,*,21,[11-499],*,*,*,*
05013,CALHOUN,AR,Chronic Kidney Disease,Rural,21,[500-999],20,[500-999],26,[11-499],*,*,*,*,*,*,*,*
05015,CARROLL,AR,Chronic Kidney Disease,Rural,18,"[1,000-4,999]",18,"[1,000-4,999]",*,*,19,[11-499],20,[11-499],18,[11-499],47,[11-499]
05017,CHICOT,AR,Chronic Kidney Disease,Rural,24,"[1,000-4,999]",22,"[1,000-4,999]",27,[500-999],*,*,0,[11-499],*,*,*,*
05019,CLARK,AR,Chronic Kidney Disease,Rural,17,"[1,000-4,999]",17,"[1,000-4,999]",21,[500-999],*,*,22,[11-499],*,*,*,*
05021,CLAY,AR,Chronic Kidney Disease,Rural,21,"[1,000-4,999]",21,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,*,*
05023,CLEBURNE,AR,Chronic Kidney Disease,Rural,19,"[5,000-9,999]",19,"[5,000-9,999]",*,*,0,[11-499],16,[11-499],*,*,*,*
05025,CLEVELAND,AR,Chronic Kidney Disease,Urban,22,"[1,000-4,999]",22,"[1,000-4,999]",25,[11-499],*,*,*,*,*,*,*,*
05027,COLUMBIA,AR,Chronic Kidney Disease,Rural,23,"[1,000-4,999]",22,"[1,000-4,999]",26,"[1,000-4,999]",*,*,0,[11-499],*,*,*,*
05029,CONWAY,AR,Chronic Kidney Disease,Rural,19,"[1,000-4,999]",19,"[1,000-4,999]",23,[11-499],*,*,24,[11-499],*,*,*,*
05031,CRAIGHEAD,AR,Chronic Kidney Disease,Urban,20,"[10,000+]",19,"[10,000+]",25,[500-999],24,[11-499],24,[11-499],*,*,18,[11-499]
05033,CRAWFORD,AR,Chronic Kidney Disease,Urban,28,"[5,000-9,999]",28,"[5,000-9,999]",25,[11-499],32,[11-499],32,[11-499],32,[11-499],17,[11-499]
05035,CRITTENDEN,AR,Chronic Kidney Disease,Urban,28,"[5,000-9,999]",25,"[1,000-4,999]",33,"[1,000-4,999]",16,[11-499],33,[11-499],*,*,20,[11-499]
05037,CROSS,AR,Chronic Kidney Disease,Rural,18,"[1,000-4,999]",17,"[1,000-4,999]",23,[11-499],*,*,*,*,*,*,*,*
05039,DALLAS,AR,Chronic Kidney Disease,Rural,23,"[1,000-4,999]",20,[500-999],30,[11-499],*,*,*,*,*,*,*,*
05041,DESHA,AR,Chronic Kidney Disease,Rural,19,"[1,000-4,999]",16,"[1,000-4,999]",25,[500-999],*,*,33,[11-499],*,*,*,*
05043,DREW,AR,Chronic Kidney Disease,Rural,22,"[1,000-4,999]",20,"[1,000-4,999]",28,[500-999],*,*,*,*,*,*,*,*
05045,FAULKNER,AR,Chronic Kidney Disease,Urban,20,"[10,000+]",20,"[10,000+]",26,[500-999],17,[11-499],20,[11-499],13,[11-499],19,[11-499]
05047,FRANKLIN,AR,Chronic Kidney Disease,Urban,26,"[1,000-4,999]",26,"[1,000-4,999]",*,*,27,[11-499],29,[11-499],36,[11-499],*,*
05049,FULTON,AR,Chronic Kidney Disease,Rural,19,"[1,000-4,999]",19,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
05051,GARLAND,AR,Chronic Kidney Disease,Urban,19,"[10,000+]",19,"[10,000+]",26,[500-999],18,[11-499],20,[11-499],16,[11-499],14,[11-499]
05053,GRANT,AR,Chronic Kidney Disease,Urban,25,"[1,000-4,999]",26,"[1,000-4,999]",23,[11-499],*,*,0,[11-499],*,*,*,*
05055,GREENE,AR,Chronic Kidney Disease,Rural,22,"[5,000-9,999]",22,"[5,000-9,999]",17,[11-499],20,[11-499],9,[11-499],*,*,38,[11-499]
05057,HEMPSTEAD,AR,Chronic Kidney Disease,Rural,21,"[1,000-4,999]",20,"[1,000-4,999]",26,[500-999],*,*,23,[11-499],*,*,*,*
05059,HOT SPRING,AR,Chronic Kidney Disease,Rural,24,"[5,000-9,999]",23,"[1,000-4,999]",35,[11-499],*,*,13,[11-499],*,*,*,*
05061,HOWARD,AR,Chronic Kidney Disease,Rural,21,"[1,000-4,999]",20,"[1,000-4,999]",26,[11-499],*,*,27,[11-499],38,[11-499],*,*
05063,INDEPENDENCE,AR,Chronic Kidney Disease,Rural,22,"[5,000-9,999]",21,"[5,000-9,999]",33,[11-499],0,[11-499],23,[11-499],*,*,33,[11-499]
05065,IZARD,AR,Chronic Kidney Disease,Rural,20,"[1,000-4,999]",20,"[1,000-4,999]",*,*,*,*,44,[11-499],*,*,*,*
05067,JACKSON,AR,Chronic Kidney Disease,Rural,23,"[1,000-4,999]",22,"[1,000-4,999]",33,[11-499],*,*,0,[11-499],*,*,*,*
05069,JEFFERSON,AR,Chronic Kidney Disease,Urban,23,"[10,000+]",22,"[5,000-9,999]",26,"[1,000-4,999]",25,[11-499],24,[11-499],*,*,17,[11-499]
05071,JOHNSON,AR,Chronic Kidney Disease,Rural,18,"[1,000-4,999]",18,"[1,000-4,999]",18,[11-499],18,[11-499],18,[11-499],0,[11-499],*,*
05073,LAFAYETTE,AR,Chronic Kidney Disease,Rural,23,"[1,000-4,999]",21,[500-999],26,[11-499],*,*,*,*,*,*,*,*
05075,LAWRENCE,AR,Chronic Kidney Disease,Rural,18,"[1,000-4,999]",18,"[1,000-4,999]",29,[11-499],*,*,*,*,*,*,*,*
05077,LEE,AR,Chronic Kidney Disease,Rural,25,"[1,000-4,999]",21,[500-999],30,[500-999],*,*,*,*,*,*,*,*
05079,LINCOLN,AR,Chronic Kidney Disease,Urban,23,"[1,000-4,999]",21,"[1,000-4,999]",29,[11-499],*,*,0,[11-499],*,*,*,*
05081,LITTLE RIVER,AR,Chronic Kidney Disease,Rural,23,"[1,000-4,999]",22,"[1,000-4,999]",25,[11-499],*,*,22,[11-499],33,[11-499],*,*
05083,LOGAN,AR,Chronic Kidney Disease,Rural,24,"[1,000-4,999]",24,"[1,000-4,999]",32,[11-499],29,[11-499],24,[11-499],35,[11-499],*,*
05085,LONOKE,AR,Chronic Kidney Disease,Urban,22,"[5,000-9,999]",22,"[5,000-9,999]",27,[11-499],15,[11-499],15,[11-499],45,[11-499],20,[11-499]
05087,MADISON,AR,Chronic Kidney Disease,Urban,19,"[1,000-4,999]",19,"[1,000-4,999]",*,*,*,*,27,[11-499],23,[11-499],*,*
05089,MARION,AR,Chronic Kidney Disease,Rural,19,"[1,000-4,999]",19,"[1,000-4,999]",*,*,*,*,19,[11-499],23,[11-499],*,*
05091,MILLER,AR,Chronic Kidney Disease,Urban,24,"[5,000-9,999]",23,"[5,000-9,999]",28,"[1,000-4,999]",23,[11-499],40,[11-499],31,[11-499],0,[11-499]
05093,MISSISSIPPI,AR,Chronic Kidney Disease,Rural,25,"[5,000-9,999]",24,"[1,000-4,999]",30,"[1,000-4,999]",30,[11-499],23,[11-499],*,*,18,[11-499]
05095,MONROE,AR,Chronic Kidney Disease,Rural,24,"[1,000-4,999]",22,[500-999],28,[11-499],*,*,*,*,*,*,*,*
05097,MONTGOMERY,AR,Chronic Kidney Disease,Rural,19,"[1,000-4,999]",19,"[1,000-4,999]",*,*,*,*,28,[11-499],*,*,*,*
05099,NEVADA,AR,Chronic Kidney Disease,Rural,20,"[1,000-4,999]",18,"[1,000-4,999]",29,[11-499],*,*,33,[11-499],*,*,*,*
05101,NEWTON,AR,Chronic Kidney Disease,Rural,17,"[1,000-4,999]",17,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
05103,OUACHITA,AR,Chronic Kidney Disease,Rural,20,"[1,000-4,999]",19,"[1,000-4,999]",24,"[1,000-4,999]",*,*,26,[11-499],*,*,*,*
05105,PERRY,AR,Chronic Kidney Disease,Urban,18,"[1,000-4,999]",18,"[1,000-4,999]",35,[11-499],*,*,*,*,*,*,*,*
05107,PHILLIPS,AR,Chronic Kidney Disease,Rural,24,"[1,000-4,999]",22,"[1,000-4,999]",26,"[1,000-4,999]",45,[11-499],33,[11-499],*,*,*,*
05109,PIKE,AR,Chronic Kidney Disease,Rural,21,"[1,000-4,999]",21,"[1,000-4,999]",26,[11-499],*,*,27,[11-499],*,*,*,*
05111,POINSETT,AR,Chronic Kidney Disease,Urban,22,"[1,000-4,999]",22,"[1,000-4,999]",27,[11-499],*,*,20,[11-499],*,*,*,*
05113,POLK,AR,Chronic Kidney Disease,Rural,20,"[1,000-4,999]",20,"[1,000-4,999]",*,*,*,*,20,[11-499],35,[11-499],39,[11-499]
05115,POPE,AR,Chronic Kidney Disease,Rural,19,"[5,000-9,999]",19,"[5,000-9,999]",28,[11-499],12,[11-499],20,[11-499],36,[11-499],33,[11-499]
05117,PRAIRIE,AR,Chronic Kidney Disease,Rural,23,"[1,000-4,999]",23,"[1,000-4,999]",25,[11-499],*,*,*,*,*,*,*,*
05119,PULASKI,AR,Chronic Kidney Disease,Urban,21,"[10,000+]",20,"[10,000+]",26,"[10,000+]",19,[11-499],21,[500-999],35,[11-499],17,[11-499]
05121,RANDOLPH,AR,Chronic Kidney Disease,Rural,19,"[1,000-4,999]",19,"[1,000-4,999]",25,[11-499],*,*,31,[11-499],25,[11-499],0,[11-499]
05123,ST. FRANCIS,AR,Chronic Kidney Disease,Rural,27,"[1,000-4,999]",24,"[1,000-4,999]",30,"[1,000-4,999]",50,[11-499],21,[11-499],*,*,36,[11-499]
