,disparities_FIPS,disparities_County,disparities_State,disparities_Condition,disparities_Urban/Rural,disparities_Total,disparities_Total No. of Beneficiaries,disparities_White,disparities_No. of Beneficiaries Who are White,disparities_Black,disparities_No. of Beneficiaries Who are Black,disparities_Asian/Pacific Islander,disparities_No. of Beneficiaries Who are Asian/Pacific Islander,disparities_Hispanic,disparities_No. of Beneficiaries Who are Hispanic,disparities_American Indian/Alaska Native,disparities_No. of Beneficiaries Who are American Indian/Alaska Native,disparities_Other,disparities_No. of Beneficiaries Who are in Other Ethic Groups,covid_date_as_of,covid_last_week,covid_state,covid_county_name,covid_fips_county_code,covid_deaths_involving_covid_19,covid_deaths_from_all_causes,covid_Longitude,covid_Latitude
26,1053,ESCAMBIA,AL,Chronic Kidney Disease,Rural,28,"[1,000-4,999]",26.0,"[1,000-4,999]",31.0,"[1,000-4,999]",,*,,[11-499],48.0,[11-499],,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Escambia County,1053.0,21.0,287.0,-86.844516,32.756889
27,1055,ETOWAH,AL,Chronic Kidney Disease,Urban,33,"[10,000+]",33.0,"[10,000+]",36.0,"[1,000-4,999]",25.0,[11-499],26.0,[11-499],,*,29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Etowah County,1055.0,139.0,1276.0,-86.844516,32.756889
29,1059,FRANKLIN,AL,Chronic Kidney Disease,Rural,25,"[5,000-9,999]",25.0,"[1,000-4,999]",37.0,[11-499],,*,22.0,[11-499],,*,19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Franklin County,1059.0,13.0,229.0,-86.844516,32.756889
34,1069,HOUSTON,AL,Chronic Kidney Disease,Urban,26,"[10,000+]",25.0,"[10,000+]",31.0,"[1,000-4,999]",24.0,[11-499],29.0,[11-499],23.0,[11-499],27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Houston County,1069.0,253.0,1569.0,-86.844516,32.756889
35,1071,JACKSON,AL,Chronic Kidney Disease,Rural,32,"[5,000-9,999]",31.0,"[5,000-9,999]",43.0,[11-499],33.0,[11-499],24.0,[11-499],,*,39.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Jackson County,1071.0,18.0,480.0,-86.844516,32.756889
36,1073,JEFFERSON,AL,Chronic Kidney Disease,Urban,26,"[10,000+]",25.0,"[10,000+]",30.0,"[10,000+]",18.0,[11-499],27.0,[11-499],31.0,[11-499],24.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Jefferson County,1073.0,654.0,7657.0,-86.844516,32.756889
38,1077,LAUDERDALE,AL,Chronic Kidney Disease,Urban,23,"[10,000+]",23.0,"[10,000+]",31.0,"[1,000-4,999]",21.0,[11-499],14.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Lauderdale County,1077.0,77.0,1113.0,-86.844516,32.756889
40,1081,LEE,AL,Chronic Kidney Disease,Urban,24,"[10,000+]",22.0,"[5,000-9,999]",28.0,"[1,000-4,999]",14.0,[11-499],18.0,[11-499],,*,11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Lee County,1081.0,150.0,1013.0,-86.844516,32.756889
41,1083,LIMESTONE,AL,Chronic Kidney Disease,Urban,28,"[5,000-9,999]",27.0,"[5,000-9,999]",34.0,[500-999],26.0,[11-499],31.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Limestone County,1083.0,37.0,620.0,-86.844516,32.756889
44,1089,MADISON,AL,Chronic Kidney Disease,Urban,31,"[10,000+]",30.0,"[10,000+]",36.0,"[5,000-9,999]",22.0,[500-999],24.0,[500-999],29.0,[11-499],27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Madison County,1089.0,162.0,3209.0,-86.844516,32.756889
45,1091,MARENGO,AL,Chronic Kidney Disease,Rural,29,"[1,000-4,999]",25.0,"[1,000-4,999]",32.0,"[1,000-4,999]",,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Marengo County,1091.0,16.0,184.0,-86.844516,32.756889
46,1093,MARION,AL,Chronic Kidney Disease,Rural,28,"[5,000-9,999]",27.0,"[1,000-4,999]",41.0,[11-499],,*,,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Marion County,1093.0,25.0,304.0,-86.844516,32.756889
47,1095,MARSHALL,AL,Chronic Kidney Disease,Rural,26,"[10,000+]",27.0,"[10,000+]",25.0,[11-499],18.0,[11-499],19.0,[11-499],,*,23.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Marshall County,1095.0,54.0,924.0,-86.844516,32.756889
48,1097,MOBILE,AL,Chronic Kidney Disease,Urban,27,"[10,000+]",25.0,"[10,000+]",33.0,"[5,000-9,999]",16.0,[11-499],25.0,[11-499],32.0,[11-499],25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Mobile County,1097.0,443.0,4141.0,-86.844516,32.756889
50,1101,MONTGOMERY,AL,Chronic Kidney Disease,Urban,26,"[10,000+]",23.0,"[10,000+]",29.0,"[5,000-9,999]",18.0,[11-499],24.0,[11-499],,*,27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Montgomery County,1101.0,358.0,2475.0,-86.844516,32.756889
51,1103,MORGAN,AL,Chronic Kidney Disease,Urban,28,"[10,000+]",27.0,"[10,000+]",32.0,"[1,000-4,999]",23.0,[11-499],24.0,[11-499],,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Morgan County,1103.0,60.0,1035.0,-86.844516,32.756889
54,1109,PIKE,AL,Chronic Kidney Disease,Rural,32,"[1,000-4,999]",31.0,"[1,000-4,999]",33.0,"[1,000-4,999]",,*,25.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Pike County,1109.0,16.0,227.0,-86.844516,32.756889
55,1111,RANDOLPH,AL,Chronic Kidney Disease,Rural,28,"[1,000-4,999]",27.0,"[1,000-4,999]",36.0,[500-999],,*,28.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Randolph County,1111.0,11.0,170.0,-86.844516,32.756889
56,1113,RUSSELL,AL,Chronic Kidney Disease,Urban,30,"[5,000-9,999]",28.0,"[5,000-9,999]",35.0,"[1,000-4,999]",16.0,[11-499],20.0,[11-499],,*,29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Russell County,1113.0,12.0,295.0,-86.844516,32.756889
57,1115,ST. CLAIR,AL,Chronic Kidney Disease,Urban,28,"[5,000-9,999]",28.0,"[5,000-9,999]",34.0,[11-499],15.0,[11-499],40.0,[11-499],,*,33.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,St. Clair County,1115.0,43.0,612.0,-86.844516,32.756889
58,1117,SHELBY,AL,Chronic Kidney Disease,Urban,27,"[5,000-9,999]",27.0,"[5,000-9,999]",32.0,[500-999],29.0,[11-499],22.0,[11-499],,*,39.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Shelby County,1117.0,88.0,1123.0,-86.844516,32.756889
60,1121,TALLADEGA,AL,Chronic Kidney Disease,Rural,28,"[5,000-9,999]",27.0,"[5,000-9,999]",32.0,"[1,000-4,999]",20.0,[11-499],36.0,[11-499],,*,20.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Talladega County,1121.0,32.0,663.0,-86.844516,32.756889
61,1123,TALLAPOOSA,AL,Chronic Kidney Disease,Rural,29,"[5,000-9,999]",28.0,"[1,000-4,999]",35.0,"[1,000-4,999]",,[11-499],18.0,[11-499],,*,21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Tallapoosa County,1123.0,70.0,420.0,-86.844516,32.756889
62,1125,TUSCALOOSA,AL,Chronic Kidney Disease,Urban,30,"[10,000+]",28.0,"[10,000+]",35.0,"[5,000-9,999]",31.0,[11-499],29.0,[11-499],45.0,[11-499],19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Tuscaloosa County,1125.0,237.0,1836.0,-86.844516,32.756889
63,1127,WALKER,AL,Chronic Kidney Disease,Urban,36,"[5,000-9,999]",36.0,"[5,000-9,999]",40.0,[11-499],36.0,[11-499],33.0,[11-499],,*,23.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Walker County,1127.0,72.0,797.0,-86.844516,32.756889
64,1129,WASHINGTON,AL,Chronic Kidney Disease,Rural,22,"[1,000-4,999]",20.0,"[1,000-4,999]",28.0,[500-999],,*,,*,,[11-499],,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Washington County,1129.0,10.0,99.0,-86.844516,32.756889
66,1133,WINSTON,AL,Chronic Kidney Disease,Rural,25,"[1,000-4,999]",25.0,"[1,000-4,999]",,*,,*,,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Winston County,1133.0,10.0,213.0,-86.844516,32.756889
67,2020,ANCHORAGE,AK,Chronic Kidney Disease,Urban,19,"[10,000+]",18.0,"[10,000+]",27.0,"[1,000-4,999]",28.0,"[1,000-4,999]",20.0,"[1,000-4,999]",20.0,"[1,000-4,999]",22.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AK,Anchorage Borough,2020.0,48.0,1544.0,-151.631889,63.631126
71,2090,FAIRBANKS NORTH STAR,AK,Chronic Kidney Disease,Urban,15,"[5,000-9,999]",14.0,"[5,000-9,999]",25.0,[11-499],13.0,[11-499],27.0,[11-499],20.0,[500-999],13.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AK,Fairbanks North Star Borough,2090.0,14.0,368.0,-151.631889,63.631126
84,4001,APACHE,AZ,Chronic Kidney Disease,Rural,23,"[5,000-9,999]",15.0,"[1,000-4,999]",13.0,[11-499],,[11-499],18.0,[11-499],28.0,"[5,000-9,999]",8.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Apache County,4001.0,42.0,421.0,-111.664616,34.293239
85,4003,COCHISE,AZ,Chronic Kidney Disease,Rural,21,"[10,000+]",20.0,"[10,000+]",27.0,[500-999],17.0,[11-499],21.0,"[1,000-4,999]",38.0,[11-499],17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Cochise County,4003.0,31.0,844.0,-111.664616,34.293239
86,4005,COCONINO,AZ,Chronic Kidney Disease,Urban,21,"[10,000+]",18.0,"[10,000+]",21.0,[11-499],12.0,[11-499],26.0,"[1,000-4,999]",34.0,"[1,000-4,999]",22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Coconino County,4005.0,131.0,988.0,-111.664616,34.293239
87,4007,GILA,AZ,Chronic Kidney Disease,Rural,22,"[10,000+]",20.0,"[10,000+]",26.0,[11-499],14.0,[11-499],27.0,"[1,000-4,999]",38.0,[500-999],27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Gila County,4007.0,34.0,563.0,-111.664616,34.293239
88,4009,GRAHAM,AZ,Chronic Kidney Disease,Rural,21,"[1,000-4,999]",19.0,"[1,000-4,999]",58.0,[11-499],,[11-499],24.0,[500-999],37.0,[11-499],,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Graham County,4009.0,23.0,237.0,-111.664616,34.293239
91,4013,MARICOPA,AZ,Chronic Kidney Disease,Urban,26,"[10,000+]",25.0,"[10,000+]",35.0,"[10,000+]",24.0,"[5,000-9,999]",28.0,"[10,000+]",40.0,"[1,000-4,999]",26.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Maricopa County,4013.0,3544.0,32851.0,-111.664616,34.293239
92,4015,MOHAVE,AZ,Chronic Kidney Disease,Urban,25,"[10,000+]",25.0,"[10,000+]",31.0,[11-499],21.0,[11-499],25.0,"[1,000-4,999]",33.0,[11-499],26.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Mohave County,4015.0,193.0,2739.0,-111.664616,34.293239
93,4017,NAVAJO,AZ,Chronic Kidney Disease,Rural,22,"[10,000+]",16.0,"[10,000+]",26.0,[11-499],15.0,[11-499],23.0,[500-999],31.0,"[5,000-9,999]",13.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Navajo County,4017.0,65.0,832.0,-111.664616,34.293239
94,4019,PIMA,AZ,Chronic Kidney Disease,Urban,22,"[10,000+]",21.0,"[10,000+]",31.0,"[1,000-4,999]",22.0,"[1,000-4,999]",24.0,"[5,000-9,999]",45.0,"[1,000-4,999]",19.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Pima County,4019.0,746.0,9498.0,-111.664616,34.293239
95,4021,PINAL,AZ,Chronic Kidney Disease,Urban,26,"[10,000+]",24.0,"[10,000+]",33.0,[500-999],27.0,[11-499],29.0,"[1,000-4,999]",52.0,"[1,000-4,999]",29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Pinal County,4021.0,86.0,2063.0,-111.664616,34.293239
97,4025,YAVAPAI,AZ,Chronic Kidney Disease,Urban,19,"[10,000+]",19.0,"[10,000+]",22.0,[11-499],16.0,[11-499],21.0,"[1,000-4,999]",30.0,[11-499],19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Yavapai County,4025.0,83.0,2469.0,-111.664616,34.293239
98,4027,YUMA,AZ,Chronic Kidney Disease,Urban,29,"[10,000+]",28.0,"[10,000+]",40.0,[11-499],21.0,[11-499],30.0,"[5,000-9,999]",38.0,[11-499],28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Yuma County,4027.0,312.0,1697.0,-111.664616,34.293239
102,5005,BAXTER,AR,Chronic Kidney Disease,Rural,23,"[10,000+]",23.0,"[5,000-9,999]",,*,21.0,[11-499],19.0,[11-499],24.0,[11-499],,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Baxter County,5005.0,25.0,690.0,-92.439162,34.899825
103,5007,BENTON,AR,Chronic Kidney Disease,Urban,23,"[10,000+]",23.0,"[10,000+]",30.0,[11-499],19.0,[11-499],25.0,[500-999],25.0,[11-499],18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Benton County,5007.0,142.0,1475.0,-92.439162,34.899825
104,5009,BOONE,AR,Chronic Kidney Disease,Rural,21,"[5,000-9,999]",21.0,"[5,000-9,999]",,*,14.0,[11-499],18.0,[11-499],25.0,[11-499],27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Boone County,5009.0,24.0,341.0,-92.439162,34.899825
108,5017,CHICOT,AR,Chronic Kidney Disease,Rural,24,"[1,000-4,999]",22.0,"[1,000-4,999]",27.0,[500-999],,*,,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Chicot County,5017.0,12.0,85.0,-92.439162,34.899825
113,5027,COLUMBIA,AR,Chronic Kidney Disease,Rural,23,"[1,000-4,999]",22.0,"[1,000-4,999]",26.0,"[1,000-4,999]",,*,,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Columbia County,5027.0,18.0,211.0,-92.439162,34.899825
115,5031,CRAIGHEAD,AR,Chronic Kidney Disease,Urban,20,"[10,000+]",19.0,"[10,000+]",25.0,[500-999],24.0,[11-499],24.0,[11-499],,*,18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Craighead County,5031.0,162.0,1646.0,-92.439162,34.899825
117,5035,CRITTENDEN,AR,Chronic Kidney Disease,Urban,28,"[5,000-9,999]",25.0,"[1,000-4,999]",33.0,"[1,000-4,999]",16.0,[11-499],33.0,[11-499],,*,20.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Crittenden County,5035.0,21.0,284.0,-92.439162,34.899825
122,5045,FAULKNER,AR,Chronic Kidney Disease,Urban,20,"[10,000+]",20.0,"[10,000+]",26.0,[500-999],17.0,[11-499],20.0,[11-499],13.0,[11-499],19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Faulkner County,5045.0,47.0,835.0,-92.439162,34.899825
125,5051,GARLAND,AR,Chronic Kidney Disease,Urban,19,"[10,000+]",19.0,"[10,000+]",26.0,[500-999],18.0,[11-499],20.0,[11-499],16.0,[11-499],14.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Garland County,5051.0,97.0,1387.0,-92.439162,34.899825
130,5061,HOWARD,AR,Chronic Kidney Disease,Rural,21,"[1,000-4,999]",20.0,"[1,000-4,999]",26.0,[11-499],,*,27.0,[11-499],38.0,[11-499],,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Howard County,5061.0,10.0,120.0,-92.439162,34.899825
131,5063,INDEPENDENCE,AR,Chronic Kidney Disease,Rural,22,"[5,000-9,999]",21.0,"[5,000-9,999]",33.0,[11-499],,[11-499],23.0,[11-499],,*,33.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Independence County,5063.0,59.0,422.0,-92.439162,34.899825
134,5069,JEFFERSON,AR,Chronic Kidney Disease,Urban,23,"[10,000+]",22.0,"[5,000-9,999]",26.0,"[1,000-4,999]",25.0,[11-499],24.0,[11-499],,*,17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Jefferson County,5069.0,102.0,769.0,-92.439162,34.899825
140,5081,LITTLE RIVER,AR,Chronic Kidney Disease,Rural,23,"[1,000-4,999]",22.0,"[1,000-4,999]",25.0,[11-499],,*,22.0,[11-499],33.0,[11-499],,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Little River County,5081.0,25.0,124.0,-92.439162,34.899825
142,5085,LONOKE,AR,Chronic Kidney Disease,Urban,22,"[5,000-9,999]",22.0,"[5,000-9,999]",27.0,[11-499],15.0,[11-499],15.0,[11-499],45.0,[11-499],20.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Lonoke County,5085.0,13.0,353.0,-92.439162,34.899825
146,5093,MISSISSIPPI,AR,Chronic Kidney Disease,Rural,25,"[5,000-9,999]",24.0,"[1,000-4,999]",30.0,"[1,000-4,999]",30.0,[11-499],23.0,[11-499],,*,18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Mississippi County,5093.0,22.0,296.0,-92.439162,34.899825
150,5101,NEWTON,AR,Chronic Kidney Disease,Rural,17,"[1,000-4,999]",17.0,"[1,000-4,999]",,*,,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Newton County,5101.0,13.0,80.0,-92.439162,34.899825
157,5115,POPE,AR,Chronic Kidney Disease,Rural,19,"[5,000-9,999]",19.0,"[5,000-9,999]",28.0,[11-499],12.0,[11-499],20.0,[11-499],36.0,[11-499],33.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Pope County,5115.0,22.0,517.0,-92.439162,34.899825
159,5119,PULASKI,AR,Chronic Kidney Disease,Urban,21,"[10,000+]",20.0,"[10,000+]",26.0,"[10,000+]",19.0,[11-499],21.0,[500-999],35.0,[11-499],17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Pulaski County,5119.0,352.0,5018.0,-92.439162,34.899825
160,5121,RANDOLPH,AR,Chronic Kidney Disease,Rural,19,"[1,000-4,999]",19.0,"[1,000-4,999]",25.0,[11-499],,*,31.0,[11-499],25.0,[11-499],,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Randolph County,5121.0,13.0,127.0,-92.439162,34.899825
162,5125,SALINE,AR,Chronic Kidney Disease,Urban,23,"[5,000-9,999]",23.0,"[5,000-9,999]",26.0,[11-499],21.0,[11-499],20.0,[11-499],45.0,[11-499],,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Saline County,5125.0,29.0,705.0,-92.439162,34.899825
165,5131,SEBASTIAN,AR,Chronic Kidney Disease,Urban,26,"[10,000+]",26.0,"[10,000+]",32.0,[500-999],24.0,[11-499],27.0,[11-499],27.0,[11-499],30.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Sebastian County,5131.0,136.0,1777.0,-92.439162,34.899825
