,internet_name,internet_geo_id,internet_geo_type,internet_year,internet_date,internet_variable_code,internet_variable_label,internet_value,internet_Latitude,internet_Longitude,fips_internet_geo_id,covid_date_as_of,covid_last_week,covid_state,covid_county_name,covid_fips_county_code,covid_deaths_involving_covid_19,covid_deaths_from_all_causes,covid_Longitude,covid_Latitude
120,"Dale County, Alabama",0500000US01045,county,2018,2018-12-31,S1701_C02_001E,Population below poverty level,8798.0,-85.60359974592491,31.4099195,1045,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Dale County,1045.0,53.0,367.0,-86.844516,32.756889
121,"San Diego County, California",0500000US06073,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,427031.0,-116.6945592147607,33.02251584061,6073,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Diego County,6073.0,1080.0,18293.0,-119.662127,37.211164
123,"Moore County, North Carolina",0500000US37125,county,2017,2017-12-31,B28002_013E,Households with no internet access,7339.0,-79.46229108726415,35.27861,37125,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,NC,Moore County,37125.0,53.0,898.0,-79.130883,35.52603
124,"Weber County, Utah",0500000US49057,county,2018,2018-12-31,B28002_013E,Households with no internet access,10142.0,-111.8950711265612,41.254425499999996,49057,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,UT,Weber County,49057.0,46.0,1586.0,-111.678222,39.323779
126,"Vanderburgh County, Indiana",0500000US18163,county,2017,2017-12-31,B28002_013E,Households with no internet access,16071.0,-87.57412209930625,37.9973225,18163,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,IN,Vanderburgh County,18163.0,143.0,2155.0,-86.2818,39.919991
127,"Baltimore city, Maryland",0500000US24510,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,133793.0,-76.62048122199482,39.28396821069423,24510,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,MD,Baltimore city,24510.0,704.0,7340.0,-76.687282,38.946466
131,"Baxter County, Arkansas",0500000US05005,county,2018,2018-12-31,S1701_C02_001E,Population below poverty level,5676.0,-92.31723664481748,36.233099,5005,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Baxter County,5005.0,25.0,690.0,-92.439162,34.899825
133,"Pinal County, Arizona",0500000US04021,county,2018,2018-12-31,S1701_C02_001E,Population below poverty level,55859.0,-111.3261977798249,32.96558349999999,4021,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Pinal County,4021.0,86.0,2063.0,-111.664616,34.293239
135,"Bell County, Texas",0500000US48027,county,2018,2018-12-31,B28002_013E,Households with no internet access,15921.0,-97.51343015309786,31.048797,48027,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Bell County,48027.0,138.0,2418.0,-99.317341,31.447238
139,"Indian River County, Florida",0500000US12061,county,2017,2017-12-31,B28002_013E,Households with no internet access,10423.0,-80.6225794714664,27.70506926043214,12061,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,FL,Indian River County,12061.0,89.0,1784.0,-82.420978,28.260731
140,"Crawford County, Kansas",0500000US20037,county,2018,2018-12-31,B28002_013E,Households with no internet access,3083.0,-94.85254251125635,37.49924126582169,20037,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,KS,Crawford County,20037.0,12.0,345.0,-98.38018,38.484729
145,"Augusta County, Virginia",0500000US51015,county,2018,2018-12-31,S0101_C01_028E,Population over 60 years old,20454.0,-79.30652806715145,38.17976236737206,51015,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,VA,Augusta County,51015.0,18.0,706.0,-78.666382,37.510861
146,"Weber County, Utah",0500000US49057,county,2018,2018-12-31,S0101_C01_028E,Population over 60 years old,39994.0,-111.8950711265612,41.254425499999996,49057,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,UT,Weber County,49057.0,46.0,1586.0,-111.678222,39.323779
151,"Washington County, Alabama",0500000US01129,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,4103.0,-88.18788835501886,31.4067535,1129,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Washington County,1129.0,10.0,99.0,-86.844516,32.756889
153,"Essex County, Massachusetts",0500000US25009,county,2018,2018-12-31,B28002_013E,Households with no internet access,38558.0,-70.91839925493483,42.650346,25009,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,MA,Essex County,25009.0,1037.0,6153.0,-71.481104,42.151077
156,"Midland County, Texas",0500000US48329,county,2018,2018-12-31,S0101_C01_028E,Population over 60 years old,25309.0,-102.0316524477728,31.850905,48329,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Midland County,48329.0,86.0,919.0,-99.317341,31.447238
160,"Greenville County, South Carolina",0500000US45045,county,2017,2017-12-31,B28002_013E,Households with no internet access,37432.0,-82.35119768988048,34.8492945,45045,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Greenville County,45045.0,358.0,4483.0,-80.864614,33.878572
161,"Cuyahoga County, Ohio",0500000US39035,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,297844.0,-81.68056113906249,41.4524055,39035,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OH,Cuyahoga County,39035.0,775.0,12826.0,-82.70936,40.415534
162,"Perry County, Indiana",0500000US18123,county,2018,2018-12-31,B28002_013E,Households with no internet access,1864.0,-86.60980938737922,38.0546355,18123,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,IN,Perry County,18123.0,13.0,131.0,-86.2818,39.919991
163,"Kent County, Michigan",0500000US26081,county,2018,2018-12-31,B28002_013E,Households with no internet access,30120.0,-85.55041186905416,43.03448849999999,26081,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,MI,Kent County,26081.0,196.0,4775.0,-85.730977,44.874798
173,"Darlington County, South Carolina",0500000US45031,county,2018,2018-12-31,S1701_C02_001E,Population below poverty level,14659.0,-79.91173907344098,34.3098585,45031,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Darlington County,45031.0,66.0,504.0,-80.864614,33.878572
174,"Camden County, New Jersey",0500000US34007,county,2017,2017-12-31,B28002_013E,Households with no internet access,31685.0,-74.98998891590966,39.80159162152609,34007,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,NJ,Camden County,34007.0,581.0,5097.0,-74.655514,40.110253
176,"Union County, Mississippi",0500000US28145,county,2018,2018-12-31,B28002_013E,Households with no internet access,2973.0,-89.01786292029229,34.4822235,28145,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,MS,Union County,28145.0,11.0,166.0,-89.65344,32.713378
180,"Howard County, Texas",0500000US48227,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,4344.0,-101.4339069353377,32.390257,48227,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Howard County,48227.0,10.0,244.0,-99.317341,31.447238
183,"Navajo County, Arizona",0500000US04017,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,24267.0,-110.2972178648903,35.273132,4017,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Navajo County,4017.0,65.0,832.0,-111.664616,34.293239
184,"Rankin County, Mississippi",0500000US28121,county,2018,2018-12-31,S1701_C02_001E,Population below poverty level,11957.0,-89.94177183523905,32.3185615,28121,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,MS,Rankin County,28121.0,41.0,804.0,-89.65344,32.713378
185,"Allegheny County, Pennsylvania",0500000US42003,county,2018,2018-12-31,B28002_013E,Households with no internet access,83277.0,-80.00454764662298,40.431999,42003,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Allegheny County,42003.0,504.0,12858.0,-77.838886,40.896694
187,"Honolulu County, Hawaii",0500000US15003,county,2018,2018-12-31,S0101_C01_028E,Population over 60 years old,222839.0,-158.0368314507717,21.48361690000135,15003,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,HI,Honolulu County,15003.0,209.0,6284.0,-157.854309,21.361013
191,"Waupaca County, Wisconsin",0500000US55135,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,13904.0,-88.98021882422975,44.46832543502624,55135,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Waupaca County,55135.0,40.0,478.0,-89.732969,44.639954
192,"Sumner County, Tennessee",0500000US47165,county,2018,2018-12-31,B28002_013E,Households with no internet access,8992.0,-86.47276518651756,36.44818193988615,47165,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Sumner County,47165.0,110.0,1278.0,-86.343226,35.842998
194,"Nassau County, New York",0500000US36059,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,78657.0,-73.56940955829447,40.7478655,36059,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,NY,Nassau County,36059.0,3254.0,12519.0,-75.59655,42.921241
195,"Giles County, Tennessee",0500000US47055,county,2018,2018-12-31,B28002_013E,Households with no internet access,3298.0,-87.02149119087758,35.2244071701826,47055,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Giles County,47055.0,19.0,294.0,-86.343226,35.842998
201,"San Joaquin County, California",0500000US06077,county,2017,2017-12-31,B28002_013E,Households with no internet access,42061.0,-121.2475761402907,37.8916445,6077,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Joaquin County,6077.0,465.0,4634.0,-119.662127,37.211164
202,"Duval County, Florida",0500000US12031,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,171837.0,-81.68069237733063,30.34752761379672,12031,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,FL,Duval County,12031.0,666.0,8533.0,-82.420978,28.260731
203,"Saline County, Arkansas",0500000US05125,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,9210.0,-92.66027251375561,34.6344375,5125,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Saline County,5125.0,29.0,705.0,-92.439162,34.899825
204,"Williamson County, Illinois",0500000US17199,county,2018,2018-12-31,S0101_C01_028E,Population over 60 years old,16632.0,-88.92970562132285,37.72468,17199,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,IL,Williamson County,17199.0,49.0,699.0,-89.148632,40.124144
207,"DeKalb County, Indiana",0500000US18033,county,2018,2018-12-31,S0101_C01_028E,Population over 60 years old,9343.0,-84.99858827684076,41.4014505,18033,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,IN,De Kalb County,18033.0,15.0,305.0,-86.2818,39.919991
208,"Roanoke city, Virginia",0500000US51770,county,2018,2018-12-31,S1701_C02_001E,Population below poverty level,20046.0,-79.95996470885804,37.2733185,51770,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,VA,Roanoke city,51770.0,87.0,1852.0,-78.666382,37.510861
211,"Neshoba County, Mississippi",0500000US28099,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,6401.0,-89.11680321143993,32.75525999999999,28099,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,MS,Neshoba County,28099.0,19.0,245.0,-89.65344,32.713378
219,"Fairfield County, Connecticut",0500000US09001,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,197334.0,-73.32480696639914,41.32444649999999,9001,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CT,Fairfield County,9001.0,1457.0,6079.0,-72.738288,41.575155
221,"Chelan County, Washington",0500000US53007,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,9516.0,-120.5421965890396,47.90711928294811,53007,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WA,Chelan County,53007.0,32.0,736.0,-120.592492,47.411715
225,"Galveston County, Texas",0500000US48167,county,2017,2017-12-31,B28002_013E,Households with no internet access,18031.0,-95.03259061520103,29.379644,48167,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Galveston County,48167.0,301.0,2238.0,-99.317341,31.447238
226,"Sebastian County, Arkansas",0500000US05131,county,2017,2017-12-31,B28002_013E,Households with no internet access,12880.0,-94.23427859947611,35.1903855,5131,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Sebastian County,5131.0,136.0,1777.0,-92.439162,34.899825
236,"Bradford County, Pennsylvania",0500000US42015,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,16679.0,-76.51092279988802,41.7720075,42015,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Bradford County,42015.0,28.0,680.0,-77.838886,40.896694
237,"Marengo County, Alabama",0500000US01091,county,2018,2018-12-31,B28002_013E,Households with no internet access,3059.0,-87.76126569459954,32.2686465,1091,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Marengo County,1091.0,16.0,184.0,-86.844516,32.756889
238,"Montgomery County, Texas",0500000US48339,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,54912.0,-95.51480985341198,30.329037,48339,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Montgomery County,48339.0,334.0,4340.0,-99.317341,31.447238
239,"St. Johns County, Florida",0500000US12109,county,2018,2018-12-31,S0101_C01_028E,Population over 60 years old,60907.0,-81.44914551779874,29.9357895788063,12109,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,FL,St. Johns County,12109.0,38.0,1367.0,-82.420978,28.260731
241,"Providence County, Rhode Island",0500000US44007,county,2017,2017-12-31,S1701_C02_001E,Population below poverty level,101489.0,-71.56651821476603,41.87258091795015,44007,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,RI,Providence County,44007.0,937.0,5670.0,-71.534637,41.572574
242,"Porter County, Indiana",0500000US18127,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,36197.0,-87.07465294679551,41.46690599999999,18127,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,IN,Porter County,18127.0,50.0,1273.0,-86.2818,39.919991
244,"El Paso County, Colorado",0500000US08041,county,2018,2018-12-31,B28002_013E,Households with no internet access,20849.0,-104.5628427467129,38.8290105,8041,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,El Paso County,8041.0,199.0,4209.0,-105.547832,38.998552
246,"Franklin County, North Carolina",0500000US37069,county,2018,2018-12-31,B28002_013E,Households with no internet access,5097.0,-78.32831069952046,36.047108,37069,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,NC,Franklin County,37069.0,11.0,245.0,-79.130883,35.52603
248,"Monroe County, Florida",0500000US12087,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,22310.0,-81.50483936065946,24.67974087628858,12087,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,FL,Monroe County,12087.0,16.0,432.0,-82.420978,28.260731
250,"Ventura County, California",0500000US06111,county,2017,2017-12-31,S0101_C01_028E,Population over 60 years old,167777.0,-119.0834675989544,34.4705965,6111,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Ventura County,6111.0,178.0,4531.0,-119.662127,37.211164
